"distance","depth","latitude","longitude","available","Seabird_temperature","Spec.Cond","DO","DOsat","total","BAT","Zdens_All","Zug_All","Zdens_one","Zdens_two","Zdens_three","Zdens_four","Zdens_five","Zdens_six","Zdens_seven"
8,0.75,43.9253333333333,-82.4497955051407,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2,0.75,43.9255,-82.4472821553987,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.4,0.75,43.9258333333333,-82.4448333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,43.9035,-82.535,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,1,43.9052301838024,-82.5343333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,1,43.9069355183528,-82.5335644816472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,1,43.9086642663644,-82.5328333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,1,43.9104224865401,-82.5323333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,43.9121615106697,-82.5316666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2,1,43.9139188470495,-82.5311666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4,1,43.9156123658649,-82.5303333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.6,1,43.9168333333333,-82.5285,TRUE,13.6464790419199,154.393484206969,12.1900637746864,117.349127548445,4.85086788976466,0.135152277841444,113.24983471275,332.683801722028,42.4026482266566,40.4989053001953,14.3603753666059,6.02921138582408,10.1342623671822,1.49172517483837,0.129595178431945
1.8,1,43.9173333333333,-82.5261642883863,TRUE,13.5716402982624,143.279249870937,12.2246591404612,117.512170952638,6.06790921149396,0.134357042815193,109.813246827154,325.964005879591,41.3875283509215,39.2979020582336,13.5768714092298,5.7647451359663,10.0429059751928,1.42675874929476,0.107680565561092
2,1,43.9176666666667,-82.5237124015253,TRUE,13.5235367133157,138.240935859429,12.2485337250945,117.651804426518,6.25656832809397,0.133400625822405,107.67522062241,321.173274716155,40.4452480587363,38.6342031430487,13.2226441184254,5.85210768412856,10.0042945696811,1.3917979508701,0.0927427114674986
2.2,1,43.9178333333333,-82.5211666666667,TRUE,13.5193802709541,141.261524732931,12.2559690756616,117.720174079391,5.00161694699749,0.132196132538775,108.392345556149,320.247243953408,40.1874477073564,38.7631559910542,13.7089554620745,6.19887531850492,9.99537860570395,1.3498346655223,0.0908078521621041
2.4,1,43.9181666666667,-82.5188333333333,TRUE,13.5117206263089,149.214739602582,12.2639773415655,117.782908621875,4.08885104803443,0.130981299091333,108.045664267428,316.921576839861,39.5249493762604,39.1721863796547,13.5395502965134,6.06201609936474,9.90760335014049,1.2840220594063,0.0972413314968885
2.6,1,43.9183333333333,-82.5162233341405,TRUE,13.4952703910839,158.456157889199,12.2740739688217,117.834319190877,3.4564733853074,0.129588817016334,106.669712672013,310.33593449886,38.8237350635376,38.7474491729754,13.4794488506918,6.03974574730034,9.74302538314642,1.25393605336367,0.0896829359034881
2.8,1,43.9186666666667,-82.5138333333333,TRUE,13.4655977107734,167.186568513679,12.2878192018359,117.875884477897,3.01276535587261,0.128010204347402,106.588309163,302.87350647854,38.3340941284776,38.5000471567565,13.3235493602494,6.0848815662922,9.56661505365085,1.22195949159092,0.0822711336212185
3,1,43.9188333333333,-82.5113333333333,TRUE,13.4062042171371,174.346019005857,12.3114231513432,117.913777093522,2.83599641009206,0.126256881090794,105.796259817491,294.641686054404,37.4442854763997,36.5818718806634,12.9679806326416,5.98264136353622,9.41681796250413,1.11557455343654,0.0862395223607501
3.2,1,43.9191666666667,-82.5089510413049,TRUE,13.3581318383418,181.212696817498,12.3317887265293,117.957125536772,2.69845126270013,0.124290824037269,103.01560381964,285.926405261027,36.6596276287711,36.6904105973046,12.4625909734354,5.59729919318771,9.25338745287783,1.0662930193882,0.08619339024115
3.4,1,43.9193333333333,-82.5064444956968,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,1,43.9196666666667,-82.504,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.8,1,43.9198333333333,-82.5015,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,43.9201666666667,-82.499,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2,1,43.9203333333333,-82.4965349182726,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4,1,43.9206666666667,-82.4941666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,1,43.9208333333333,-82.4916300207407,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.8,1,43.9210935954083,-82.4891666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,43.9213333333333,-82.4866922559297,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2,1,43.9216666666667,-82.4842810644942,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4,1,43.9218333333333,-82.4818215868597,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.6,1,43.9221666666667,-82.4793333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.8,1,43.9223333333333,-82.4768333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,43.9226666666667,-82.4744438875871,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2,1,43.9228333333333,-82.4719284327915,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.4,1,43.9231666666667,-82.4695,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.6,1,43.9235,-82.467,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.8,1,43.9236666666667,-82.4645,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,43.924,-82.4621251579209,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.2,1,43.9241666666667,-82.459577971434,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.4,1,43.9245,-82.4571666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,1,43.9246666666667,-82.4546666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.8,1,43.925,-82.4521952536368,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,43.9253333333333,-82.4497955051407,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2,1,43.9255,-82.4472821553987,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.4,1,43.9258333333333,-82.4448333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1.25,43.9035,-82.535,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,1.25,43.9052301838024,-82.5343333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,1.25,43.9069355183528,-82.5335644816472,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,1.25,43.9086642663644,-82.5328333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,1.25,43.9104224865401,-82.5323333333333,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.25,43.9121615106697,-82.5316666666667,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
